"","rank","title","release_year","rating","runtime","genres","movie_rating","metascore","description","directors","actors","votes","gross_in_millions"
"14",14,"crossfire",1947,"unrated",86,"crime, drama, film-noir",7.4,NA,"a man is murdered, apparently by one of a group of soldiers just out of the army. but which one? and why?","edward dmytryk","robert young, robert mitchum, robert ryan, gloria grahame",6000,NA
"15",15,"nightmare alley",1947,"not rated",110,"drama, film-noir",7.8,NA,"the rise and fall of stanton carlisle, a mentalist whose lies and deceit prove to be his downfall.","edmund goulding","tyrone power, joan blondell, coleen gray, helen walker",5665,NA
"16",16,"kiss of death",1947,"approved",99,"crime, drama, film-noir",7.5,NA,"with his law-breaking lifestyle in the past, an ex-con, along with his family, attempt to start a new life, knowing a betrayed someone from the past is bound to see otherwise.","henry hathaway","victor mature, brian donlevy, coleen gray, richard widmark",5746,NA
"17",17,"brute force",1947,"not rated",98,"crime, drama, film-noir",7.7,NA,"at a tough penitentiary, prisoner joe collins plans to rebel against captain munsey, the power-mad chief guard.","jules dassin","burt lancaster, hume cronyn, charles bickford, yvonne de carlo",7102,NA
"18",18,"it happened on fifth avenue",1947,"approved",116,"comedy, music, romance",7.7,NA,"a homeless new yorker moves into a mansion and along the way he gathers friends to live in the house with him. before he knows it, he is living with the actual home owners.","roy del ruth","don defore, ann harding, charles ruggles, victor moore",2213,NA
"19",19,"possessed",1947,"approved",108,"crime, drama, film-noir",7.2,NA,"after being found wandering the streets of los angeles, a severely catatonic woman tells a doctor the complex story of how she wound up there.","curtis bernhardt","joan crawford, van heflin, raymond massey, geraldine brooks",3579,NA
"20",20,"brighton rock",1947,"not rated",92,"crime, drama, film-noir",7.4,NA,"pinkie brown is a small-town hoodlum whose gang runs a protection racket based at brighton race course. when pinkie orders the murder of a rival, fred, the police believe it to be suicide. ...                see full summary »","john boulting","richard attenborough, hermione baddeley, william hartnell, harcourt williams",4331,NA
"21",21,"t-men",1947,"approved",92,"crime, film-noir, thriller",7,NA,"two us treasury agents hunt a successful counterfeiting ring.","anthony mann","dennis o'keefe, wallace ford, alfred ryder, mary meade",2246,NA
"22",22,"odd man out",1947,"not rated",116,"crime, drama, film-noir",7.8,NA,"a wounded irish nationalist leader attempts to evade police following a failed robbery in belfast.","carol reed","james mason, robert newton, cyril cusack, f.j. mccormick",7058,NA
"23",23,"dead reckoning",1947,"passed",100,"crime, drama, film-noir",7.2,NA,"a soldier runs away rather than receive the medal of honor, so his buddy gets permission to investigate, and love and death soon follow.","john cromwell","humphrey bogart, lizabeth scott, morris carnovsky, charles cane",4925,NA
"24",24,"the bachelor and the bobby-soxer",1947,"approved",95,"comedy, romance",7.3,NA,"a high school girl falls for a playboy artist, with screwball results.","irving reis","cary grant, myrna loy, shirley temple, rudy vallee",6573,NA
"25",25,"the red house",1947,"unrated",100,"drama, film-noir, mystery",6.9,NA,"an old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandon farmhouse, located deep in the woods.","delmer daves","edward g. robinson, lon mccallister, judith anderson, rory calhoun",2339,NA
"26",26,"born to kill",1947,"approved",92,"crime, drama, film-noir",7.3,NA,"a calculating divorcée risks her chances at wealth and security with a man she doesn't love by getting involved with the hotheaded murderer romancing her foster sister.","robert wise","claire trevor, lawrence tierney, walter slezak, phillip terry",3606,NA
"27",27,"the unsuspected",1947,"approved",103,"drama, film-noir, mystery",7.2,NA,"the secretary of an affably suave radio mystery host mysteriously commits suicide after his wealthy young niece disappears.","michael curtiz","claude rains, joan caulfield, audrey totter, constance bennett",1797,NA
"28",28,"life with father",1947,"not rated",118,"comedy",7.3,NA,"a financier from new york rules his numerous family, consisting of his wife and his four sons, with the meticulousness of a bookkeeper.","michael curtiz","william powell, irene dunne, elizabeth taylor, edmund gwenn",3681,NA
"29",29,"while i live",1947,NA,85,"thriller",7.2,NA,"25 years later, a spinster still obsesses over the death of her composer sister and concludes she has returned, reincarnated, in an amnesiac woman who chances upon her house seeking help.","john harlow","sonia dresdel, carol raye, tom walls, patricia burke",85,NA
"30",30,"forever amber",1947,"approved",138,"adventure, drama, history",6.7,NA,"in seventeenth-century england, amber st. clair aims to raise herself from country girl to nobility, and succeeds, but loses her true love in the process.","otto preminger, john m. stahl","linda darnell, cornel wilde, richard greene, george sanders",922,NA
"31",31,"quai des orfèvres",1947,"not rated",106,"crime, drama",7.7,"89","jenny lamour wants to succeed in music hall. her husband and accompanist is maurice martineau, a nice but jealous man. when he knew jenny is making eyes at brignon, an old businessman, in ...                see full summary »","henri-georges clouzot","louis jouvet, simone renant, bernard blier, suzy delair",3705,NA
"32",32,"a double life",1947,"approved",104,"crime, drama, film-noir",7.1,NA,"anthony john is an actor whose life is strongly influenced by the characters he plays. when he's playing comedy, he's the most enjoyable person in the world, but when he's playing drama, ...                see full summary »","george cukor","ronald colman, edmond o'brien, signe hasso, shelley winters",2387,NA
"33",33,"the beginning or the end",1947,"approved",112,"biography, drama, history",7,NA,"the research, development, and deployment of the first atomic bomb, as well as the bombing of hiroshima, are detailed in this docudrama.","norman taurog","brian donlevy, robert walker, tom drake, beverly tyler",404,NA
"34",34,"the egg and i",1947,"approved",108,"animation, comedy, romance",7.2,NA,"on their wedding night, bob reveals to betty that he has purchased an abandoned chicken farm. betty struggles to adapt to their new rural lifestyle, especially when a glamorous neighbor seems to set her eyes on bob.","chester erskine","claudette colbert, fred macmurray, marjorie main, louise allbritton",1853,NA
"35",35,"the sin of harold diddlebock",1947,"approved",89,"comedy",6.9,NA,"twenty years after his triumphs as a freshman on the football field, harold is a mild-mannered clerk who dreams about marrying the girl at the desk down the aisle. but losing his job ...                see full summary »","preston sturges","harold lloyd, frances ramsden, jimmy conlin, raymond walburn",1214,NA
"36",36,"ramrod",1947,"passed",95,"romance, western",6.9,NA,"violent feud between connie dickason, the owner of the circle 66 ranch and rancher frank ivey, the self-proclaimed boss of an otherwise public grazing land.","andré de toth","joel mccrea, veronica lake, don defore, donald crisp",873,NA
"37",37,"the farmer's daughter",1947,"unrated",97,"drama, romance",7.4,NA,"katie holstrom leaves the farm to become a nurse, but is sidetracked into domestic service, romance, and politics.","h.c. potter","loretta young, joseph cotten, ethel barrymore, charles bickford",1827,NA
"38",38,"unconquered",1947,"approved",146,"adventure, drama, history",7.1,NA,"intrepid frontiersman chris holden foils the political and personal ambitions of renegade martin garth in the ohio valley following the french and indian war.","cecil b. demille","gary cooper, paulette goddard, howard da silva, boris karloff",1533,NA
"39",39,"ride the pink horse",1947,"not rated",101,"crime, drama, film-noir",7.4,NA,"in the bordertown of san pablo, preparing for an annual 'mexican fiesta,' arrives gagin: tough, mysterious and laconic. his mission: to find the equally mysterious frank hugo, evidently for...                see full summary »","robert montgomery","robert montgomery, thomas gomez, wanda hendrix, andrea king",1780,NA
"40",40,"secret beyond the door...",1947,"not rated",99,"drama, film-noir, mystery",6.8,NA,"when a lovely wife and her new husband, settle in an ancient mansion on the east coast, she discovers he may want to kill her.","fritz lang","joan bennett, michael redgrave, anne revere, barbara o'neil",3432,NA
"41",41,"i walk alone",1947,"approved",97,"crime, drama, film-noir",7.1,NA,"frankie madison leaves prison expecting a share from his ex-partner. but prohibition bootlegging didn't prepare frankie for big business.","byron haskin","burt lancaster, lizabeth scott, kirk douglas, wendell corey",1509,NA
"42",42,"monsieur verdoux",1947,"not rated",124,"comedy, crime, drama",8,NA,"a suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards.","charles chaplin","charles chaplin, mady correll, allison roddan, robert lewis",12740,NA
"43",43,"boomerang!",1947,"approved",88,"crime, drama, film-noir",7.3,NA,"the true story of a prosecutor's fight to prove the innocence of a man accused of a notorious murder.","elia kazan","dana andrews, jane wyatt, lee j. cobb, cara williams",3287,NA
"44",44,"lured",1947,"approved",102,"crime, film-noir, mystery",7,NA,"a serial killer in london is murdering young women he meets through the personal columns of newspapers. he announces each of his murders to the police by sending them a cryptic poem. after ...                see full summary »","douglas sirk","george sanders, lucille ball, charles coburn, boris karloff",2064,NA
"45",45,"desert fury",1947,"approved",96,"crime, drama, film-noir",6.7,NA,"the daughter of a nevada casino owner gets involved with a racketeer, despite everyone's efforts to separate them.","lewis allen","john hodiak, lizabeth scott, burt lancaster, wendell corey",921,NA
"46",46,"magic town",1947,"approved",103,"comedy, romance",6.5,NA,"an opinion pollster finds a town which is a perfect mirror of u.s. opinions.","william a. wellman","james stewart, jane wyman, kent smith, ned sparks",1179,NA
